Date,Open,High,Low,Close,Volume
12/9/2022,171.47,171.77,169.92,170.04,1301202
12/12/2022,170.32,173.17,170.1,173.02,1969231
12/13/2022,174.71,175.39,171.32,172.56,972505
12/14/2022,171.8,173.03,170.3,170.53,1102052
12/15/2022,169.36,169.36,166.26,168.23,1119414
12/16/2022,167.19,167.46,165.38,166.46,3634806
12/19/2022,166.51,167.6,163.08,163.62,1075104
12/20/2022,163.23,163.6,161.86,162.86,1105463
12/21/2022,163.63,165.37,163.63,165.09,670266
12/22/2022,164.3,165.3,162.25,163.2,576265
12/23/2022,162.85,164.02,162.24,163.69,504699
12/28/2022,163.73,164.06,162.23,162.4,1120260
12/29/2022,162.97,163.44,162.05,163.04,865663
12/30/2022,162.05,162.37,160.15,160.84,635289
1/3/2023,161.97,164.36,161.75,162.88,917076
1/4/2023,163,163.5,162.15,163.05,750164
1/5/2023,163.59,163.59,160.18,160.52,1512190
1/6/2023,161.16,164.81,160.5,164.44,923486
1/9/2023,164.72,166.92,164.55,164.81,942581
1/10/2023,161.34,163.36,161.34,163.14,822522
1/11/2023,163.83,165.31,161.81,164.33,1046622
1/12/2023,164.36,164.92,162.92,164.55,1242874
1/13/2023,164.01,166.63,164.01,165.64,1054023
1/16/2023,165.29,167.65,165.29,165.99,340249
1/17/2023,166.26,167.89,165.98,166.65,761343
1/18/2023,166.85,167.55,165.77,165.85,1207469
1/19/2023,165.58,166.32,163.72,163.8,1035251
1/20/2023,163.83,165.78,163.57,165.02,784271
1/23/2023,165.13,166.06,164.14,165.32,683022
1/24/2023,164.21,166.62,163.26,165.91,1040239
1/25/2023,160.36,160.84,157,158.17,2835272
1/26/2023,158.94,158.94,155.6,157.91,1828875
1/27/2023,157.01,159.07,157.01,157.51,881666
1/30/2023,156.74,159.59,156.74,157.25,1137146
1/31/2023,157.22,158.47,156.77,158.38,1533348
2/1/2023,157.61,159.51,157.11,158.61,1607136
2/2/2023,158.93,159.97,157.04,159.2,1349073
2/3/2023,158.74,160.94,158.74,160.66,1186523
2/6/2023,160.18,160.94,159.03,159.12,1252034
2/7/2023,158.57,159.69,157.42,158.19,1214232
2/8/2023,158.04,159.58,157.53,157.85,919648
2/9/2023,158.6,159,156.62,157.11,978465
2/10/2023,155.87,160.15,155.78,159.9,1124828
2/13/2023,160.01,161.66,159.73,160.89,982763
2/14/2023,160.98,161.17,158.6,159.52,953011
2/15/2023,158.58,158.92,157.12,158.6,881363
2/16/2023,157.73,159.25,156.92,158.03,1061134
2/17/2023,157.05,158.57,156.91,157.22,1082831
2/21/2023,156.92,158.34,156.26,157.37,1324800
2/22/2023,157.2,157.7,155.72,156.17,1155455
2/23/2023,156.08,157.36,155.59,157.1,921090
2/24/2023,156.41,156.88,155.3,156.76,908761
2/27/2023,157.99,159.29,157.11,157.4,1202662
2/28/2023,156.63,157.19,155.01,155.41,2645875
3/1/2023,155.84,158.02,155.36,157.21,1527453
3/2/2023,157.04,160.45,156,160.22,1564145
3/3/2023,160.8,162.43,160.22,162.17,1836266
3/6/2023,162.63,162.63,160.35,160.63,1509816
3/7/2023,160.62,161.39,159.55,159.88,1667316
3/8/2023,160.73,162.63,160.12,162.17,849644
3/9/2023,162.05,162.6,160.32,160.64,1762994
3/10/2023,160.09,162.67,159.65,159.71,2788704
3/13/2023,157.68,161.58,157.5,159.55,2109737
3/14/2023,161.12,161.56,156.76,158.76,1433966
3/15/2023,158.51,160.45,157.13,158.51,1350209
3/16/2023,157.81,162.92,156.89,162.59,1343298
3/17/2023,163.42,163.42,158.02,158.3,2825182
3/20/2023,158.11,159.18,156.5,157.62,877004
3/21/2023,158.59,158.94,156.79,157.46,918976
3/22/2023,157.37,158.59,156.23,156.3,755826
3/23/2023,157.01,157.05,154.04,154.61,1486808
3/24/2023,153.88,156.2,153.8,156.11,1223995
3/27/2023,156.41,157.04,155.07,156.52,1059127
3/28/2023,156.43,157.49,155.68,156.28,2529114
3/29/2023,157.23,157.39,155.93,156.45,1211381
3/30/2023,157.69,157.69,155.71,157.3,1012672
3/31/2023,157.38,159.65,157.13,159.47,1203298
4/3/2023,158.82,160.82,158.61,160.02,964928
4/4/2023,161.08,162.55,160.62,161.76,1118918
4/5/2023,161.5,162.83,157.33,157.63,1245708
4/6/2023,160.06,160.06,158.53,159.84,1096865
4/10/2023,159.5,159.84,158.61,159.08,941897
4/11/2023,159.4,160.98,159.06,160.11,797347
4/12/2023,160.91,163.2,160.26,162.28,826688
4/13/2023,162.4,162.69,159.9,161.97,1093427
4/14/2023,162,163.6,161.73,163.57,642940
4/17/2023,164.2,165.53,163.31,163.9,631251
4/18/2023,164.86,165.21,163.69,164.28,882711
4/19/2023,163.7,165.37,163.7,164.79,823346
4/20/2023,164.34,166.37,164.27,165.28,1249053
4/21/2023,166.06,166.75,165.26,166.53,1056426
4/24/2023,166.48,168.8,166.47,168.27,1531197
4/25/2023,168.47,168.56,160.01,161.63,2619469
4/26/2023,161.5,161.52,158.62,159.24,1470546
4/27/2023,160.06,161.56,158.47,160.85,964777
4/28/2023,160.11,162.78,160.11,161.5,853672
5/1/2023,161.87,163.93,161.87,162.35,557391
5/2/2023,161.72,162.05,159.73,161.24,725112
5/3/2023,161.53,162.15,158.41,160.75,1073053
5/4/2023,161.16,161.96,158.6,160.62,1142419
5/5/2023,161.05,163.57,160.21,163.07,1128571
5/8/2023,163.46,164.21,161.28,161.71,817168
5/9/2023,160.99,161.46,159.32,161.11,1086428
5/10/2023,162.12,163.56,161.17,162.45,1029947
5/11/2023,162.29,163.89,161.69,161.96,1150184
5/12/2023,162.92,163.78,162.84,163.41,682110
5/15/2023,163.36,163.8,162.55,163.58,2047336
5/16/2023,162,162.96,161.38,161.73,996735
5/17/2023,161.25,161.69,159.41,160.25,1136712
5/18/2023,160.12,161.04,158.8,161,860504
5/19/2023,161.57,161.98,160.39,161.39,889108
5/23/2023,158.16,158.58,155.74,156.13,2018895
5/24/2023,155.63,155.78,152.71,153.91,1294038
5/25/2023,153.81,155.76,152.67,155.04,1831168
5/26/2023,155.45,157.27,154.92,155.16,1502697
5/29/2023,155.51,156.38,155.23,156.04,728179
5/30/2023,156.29,156.78,155.13,155.43,877332
5/31/2023,154.75,154.95,152.78,153.06,2052856
6/1/2023,153.7,155.55,153.48,154.77,1286232
6/2/2023,155.05,159.34,155.03,157.98,1768217
6/5/2023,157,159.08,157,157.12,2862940
6/6/2023,156.99,157,154.08,154.3,1431158
6/7/2023,153.86,156.29,152.62,156.08,1139251
6/8/2023,156.16,156.16,152.8,153.61,2100256
6/9/2023,154.05,154.28,152.15,152.41,1797443
6/12/2023,152.42,152.52,150.96,152.26,1560166
6/13/2023,152.93,153.57,152.13,153.21,1229469
6/14/2023,153.44,156.3,153.44,155.49,1089503
6/15/2023,155.29,156.34,154.79,155.89,830610
6/16/2023,155.64,157.47,155.52,156.99,4074126
6/19/2023,157.75,157.75,156.09,156.33,307072
6/20/2023,155.78,157.64,155.28,155.3,902126
6/21/2023,154.8,156.93,154.23,156.33,654048
6/22/2023,156.33,157.76,156.14,157.75,1072296
6/23/2023,157.55,157.55,155.22,155.32,1216508
6/26/2023,155,156.76,155,156.24,1236435
6/27/2023,156.64,158.18,156,157.61,1471038
6/28/2023,158,158.52,155.88,157.8,722424
6/29/2023,157.32,158.93,156.4,158.67,1383771
6/30/2023,159.29,161.02,159.12,160.42,1205610
7/4/2023,160.55,161.33,160.22,160.74,424844
7/5/2023,160.41,160.91,158.53,159.15,808849
7/6/2023,158,158.52,156.28,156.7,1212204
7/7/2023,156,156.31,153.41,153.52,1279949
7/10/2023,154.14,154.92,153.34,153.93,664328
7/11/2023,153.12,154.08,152.22,153.01,811057
7/12/2023,152.64,155.13,151.75,154.28,1178343
7/13/2023,154.2,156.98,154,155.51,1461279
7/14/2023,155.28,157,155.28,156.5,947238
7/17/2023,156,156.23,154.31,155.08,1075544
7/18/2023,154.88,155.35,153.12,154.67,1166435
7/19/2023,154.31,155.85,153.76,155.37,1267564
7/20/2023,155.47,156.37,154.69,155.01,742107
7/21/2023,155.31,157.15,154.23,156.71,930346
7/24/2023,156.62,157.83,155.94,156.72,917919
7/25/2023,156.64,157.59,155.95,156.38,987026
7/26/2023,153.95,158.41,151.18,156.69,2484904
7/27/2023,156.58,158.6,156,156.71,897884
7/28/2023,157.38,161.34,156.75,159.91,1145441
7/31/2023,159.44,160.02,158.04,159.84,1710270
8/1/2023,158.74,160.18,158.31,158.74,909409
8/2/2023,158.2,158.68,155.79,155.84,1120471
8/3/2023,155.32,157.1,154.75,156.53,1115976
8/4/2023,156.5,157.98,155.82,156.45,939634
8/8/2023,157.25,157.41,155.07,157.02,1146197
8/9/2023,157.3,158.78,156.54,158.21,628983
8/10/2023,159.01,159.74,155.82,156.54,1062621
8/11/2023,156.48,157.61,156.39,157.23,689477
8/14/2023,157.08,158.11,156.06,156.43,1089151
8/15/2023,155.57,156.23,153.68,153.7,1212494
8/16/2023,153.67,154.76,153.25,153.75,981118
8/17/2023,154,155.15,153.04,153.3,541466
8/18/2023,153,154.38,152.5,153.95,918039
